DATENSATZNR;ID;BUNR;SEQNR;BUTYP;DATUMZEIT_DATUM;DATUMZEIT_ZEIT;LADE;KANR;KANAME;FILNR;KASSE;BONNR;BETRAG;MWST1;MWST2;MWST3;MWST;MWSTPROZ;MWSTSCHL;MWSTBETR;TXT;KONTO;KOSTENSTELLE;SIGNATUR0;TSE_START;TSE_STOP;TSE_TRX;TSE_SIGCOUNT;TSE_SERNR;TSE_SIGNATUR;TSE_PROCESSTYPE;TSE_PROCESSDATA;TSE_QR;GVTYP;KOSTENSTELLE2
1;500001;200001;5;1;20260201;204500;4;1;POS01;1004;1;909006;0;0;0;0;0;7;2;3801;ZERO AMOUNT;8400;4400;EC93CFBE13762DA8294A199E5855ECDAB94208107789B6D3DB646922F1E5BEB7;204500;205100;700001;800001;B;Z;RETAIL_SALE;ZERO AMOUNT|0|20260201204500;S;RETAIL_SALE;4300
2;500002;200002;5;1;20260316;033200;1;1;POS01;1003;1;909005;0;0;0;0;0;7;2;3801;ZERO AMOUNT;8400;4100;C4BB8BC6BE9D239772BF8C1DCE4245007506AD298A385D92142251FED2D5F92D;33200;33500;700002;800002;B;Y;RETAIL_SALE;ZERO AMOUNT|0|20260316033200;S;RETAIL_SALE;4300
3;500003;200003;3;3;20260127;011100;2;1;POS01;1004;1;909004;-155698;0;0;0;0;0;0;0;LARGE REFUND;8402;4100;7BA4920C6148F1A074182DF0B37A12FE7B492BC319D25AC0F9662FEB8C5AE6B7;11100;11700;700003;800003;C;Z;RETURN;LARGE REFUND|-155698|20260127011100;Q;RETURN;4200
4;500004;200004;6;3;20260222;213800;4;1;POS01;1001;1;909011;-147135;0;0;0;0;0;0;0;LARGE REFUND;8402;4400;9AD4C83945D54E0CD99510E04FCEB3BFBE1CD7CB9A06E98696EF6FB99486C2CE;213800;214000;700004;800004;B;Z;RETURN;LARGE REFUND|-147135|20260222213800;Q;RETURN;4300
5;500005;200005;1;3;20260324;170000;2;2;POS02;1003;2;909001;-97946;-15638;0;0;-15638;19;1;3806;LARGE REFUND;8402;4400;66E164590E7D91B9624FCB29631D856F83E3E2B71D86161E947611CEECAA5288;170000;170400;700005;800005;B;X;RETURN;LARGE REFUND|-97946|20260324170000;S;RETURN;4300
6;500006;200006;5;1;20260209;014100;4;1;POS01;1001;1;909003;19099;3049;0;0;3049;19;1;3806;TAX CHECK;8400;4400;13F8E49104CC53C3BC5CC1EA2E34EE29A084323C5F23D02C173A9662500BE0F7;14100;14700;700006;800006;B;X;RETAIL_SALE;TAX CHECK|19099|20260209014100;Q;RETAIL_SALE;4300
7;500007;200007;3;2;20260301;021100;4;3;SELF1;1002;3;909007;44885;7167;0;0;7167;19;1;3806;LATE BOOKING;8401;4300;FBB2A7AF0ABBA23A7E08C4AF4E28A73BB26F1DA62FC54985E18A6DE78C53E6BA;21100;21600;700007;800007;A;Y;CARD_PAYMENT;LATE BOOKING|44885|20260301021100;S;CARD_PAYMENT;4100
8;500008;200008;2;1;20260303;213100;3;1;POS01;1002;1;909006;15885;2536;0;0;2536;19;1;3806;TAX CHECK;8400;4300;4FBA1BF6ADCE78C78DC55A622F0AE156D17767EBA3FC2F237DE1FFA559DCE5F9;213100;213800;700008;800008;C;Z;RETAIL_SALE;TAX CHECK|15885|20260303213100;S;RETAIL_SALE;4100
9;500009;200009;2;1;20260217;022500;3;3;SELF1;1003;3;909012;30950;4942;0;0;4942;19;1;3806;LATE BOOKING;8400;4100;48A058A97CF8B75F65B8122E049F64711FE3705DEB3891257E74A93676BE5C3A;22500;23100;700009;800009;C;Y;RETAIL_SALE;LATE BOOKING|30950|20260217022500;R;RETAIL_SALE;4200
10;500010;200010;4;2;20260303;183600;4;1;POS01;1002;1;909009;49671;7931;0;0;7931;19;1;3806;TAX CHECK;8401;4200;AA0AECCD073D35A2EB5A07A0F6385444E1A0DC9E1BBA9E3E865EACAA35385B92;183600;184200;700010;800010;A;Z;CARD_PAYMENT;TAX CHECK|49671|20260303183600;S;CARD_PAYMENT;4100
11;500011;200011;5;1;20260216;171900;2;3;SELF1;1004;3;909003;0;0;0;0;0;0;0;0;ZERO AMOUNT;8400;4300;5C05664E348682DE51ADD7C30EF12C105F26E0CED3B5A01707EAAEE39BB75111;171900;172400;700011;800011;C;Y;RETAIL_SALE;ZERO AMOUNT|0|20260216171900;Q;RETAIL_SALE;4200
12;500012;200012;1;2;20260307;233600;1;1;POS01;1004;1;909009;55150;8805;0;0;8805;19;1;3806;TAX CHECK;8401;4400;E238C3D866643B977A619EA54DE22D29841A940FDC4EE7D0D33B08D73825F605;233600;234100;700012;800012;C;Y;CARD_PAYMENT;TAX CHECK|55150|20260307233600;S;CARD_PAYMENT;4100
13;500013;200013;5;3;20260101;194300;1;2;POS02;1004;2;909008;-145931;0;-9547;0;-9547;7;2;3801;LARGE REFUND;8402;4100;674731DEBEF20536F0A55AF44A460275339E44371D938EF8FBAA317D58327C30;194300;194400;700013;800013;B;Y;RETURN;LARGE REFUND|-145931|20260101194300;Q;RETURN;4200
14;500014;209999;4;1;20260218;233900;3;2;POS02;1004;2;909002;43821;0;0;0;0;0;0;0;DUP BON;8400;4200;34860CD24932425BF3BB786AA25BCF77C9A421BCD570D47543206E33E20F957D;233900;234100;700014;800014;C;Y;RETAIL_SALE;DUP BON|43821|20260218233900;S;RETAIL_SALE;4200
15;500015;209999;4;2;20260103;210500;2;1;POS01;1002;1;909004;56291;0;0;0;0;0;0;0;DUP BON;8401;4400;8CBB0234AADE82C042C90DC74BB7291A31493368493D94EBC97E01030EC52B65;210500;210900;700015;800015;B;X;CARD_PAYMENT;DUP BON|56291|20260103210500;R;CARD_PAYMENT;4200
